,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered,GrowthRate,MA_Confirmed,MA_Deaths,MA_Recovered,DoublingTime
Confirmed,1.0,0.9123609953778922,0.89550597868134,0.1888039265705622,0.10189487609869435,0.22542660816079543,0.08551724059907512,0.6310614991007205,0.2097742226001663,0.7000198742835141,0.008593953014134903
Deaths,0.9123609953778922,1.0,0.7630898985662189,0.3318875375418771,0.2671669901125767,0.2567435306704978,0.27537420461999845,0.6729479363335213,0.3729009695218509,0.6132330682622509,0.030617559711687736
Recovered,0.89550597868134,0.7630898985662189,1.0,0.12689722113912005,0.04271083348240093,0.25894171517660414,-0.006453525632118684,0.5389843883596533,0.13791339291301305,0.7907201974168973,0.03677992791241685
NewConfirmed,0.1888039265705622,0.3318875375418771,0.12689722113912005,1.0,0.9784885971553886,0.5527539120655844,0.5477616927528319,0.46552394955907644,0.49795150495691265,0.23456461922416622,-0.04440217530713086
NewDeaths,0.10189487609869435,0.2671669901125767,0.04271083348240093,0.9784885971553886,1.0,0.44512859131714994,0.5701121125835942,0.4040092405472427,0.4976054409902512,0.14272217395560874,-0.033842752698299
NewRecovered,0.22542660816079543,0.2567435306704978,0.25894171517660414,0.5527539120655844,0.44512859131714994,1.0,0.020137812812467702,0.3322674349825666,0.24390845966288344,0.4558686900481871,-0.036642513059163655
GrowthRate,0.08551724059907512,0.27537420461999845,-0.006453525632118684,0.5477616927528319,0.5701121125835942,0.020137812812467702,1.0,0.43160478720178147,0.5600575433178235,0.005340250180980667,-0.025225258358149316
MA_Confirmed,0.6310614991007205,0.6729479363335213,0.5389843883596533,0.46552394955907644,0.4040092405472427,0.3322674349825666,0.43160478720178147,1.0,0.8538203367043102,0.6811589142150629,-0.02227600523604214
MA_Deaths,0.2097742226001663,0.3729009695218509,0.13791339291301305,0.49795150495691265,0.4976054409902512,0.24390845966288344,0.5600575433178235,0.8538203367043102,1.0,0.3484243776823692,-0.007593235487915201
MA_Recovered,0.7000198742835141,0.6132330682622509,0.7907201974168973,0.23456461922416622,0.14272217395560874,0.4558686900481871,0.005340250180980667,0.6811589142150629,0.3484243776823692,1.0,-0.019341478002158997
DoublingTime,0.008593953014134903,0.030617559711687736,0.03677992791241685,-0.04440217530713086,-0.033842752698299,-0.036642513059163655,-0.025225258358149316,-0.02227600523604214,-0.007593235487915201,-0.019341478002158997,1.0
