Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
Afghanistan,36263,1269,25198,106.0,10.0,18.0
Albania,4880,144,2745,117.0,6.0,63.0
Algeria,27973,1163,18837,616.0,8.0,749.0
Andorra,907,52,803,10.0,0.0,0.0
Angola,950,41,242,18.0,1.0,0.0
Antigua and Barbuda,86,3,65,4.0,0.0,5.0
Argentina,167416,3059,72575,4890.0,120.0,2057.0
Armenia,37390,711,26665,73.0,6.0,187.0
Australia,15303,167,9311,1.0,0.0,0.0
Austria,20558,713,18246,86.0,1.0,37.0
Azerbaijan,30446,423,23242,396.0,6.0,558.0
Bahamas,382,11,91,40.0,0.0,0.0
Bahrain,39482,141,36110,351.0,1.0,421.0
Bangladesh,226225,2965,125683,2772.0,37.0,1801.0
Barbados,110,7,94,0.0,0.0,0.0
Belarus,67251,538,60492,119.0,4.0,67.0
Belgium,66428,9822,17452,402.0,1.0,14.0
Belize,48,2,26,0.0,0.0,0.0
Benin,1770,35,1036,0.0,0.0,0.0
Bhutan,99,0,86,4.0,0.0,1.0
Bolivia,71181,2647,21478,1752.0,64.0,309.0
Bosnia and Herzegovina,10498,294,4930,731.0,14.0,375.0
Botswana,739,2,63,53.0,1.0,11.0
Brazil,2442375,87618,1846641,23284.0,614.0,33728.0
Brunei,141,3,138,0.0,0.0,0.0
Bulgaria,10621,347,5585,194.0,7.0,230.0
Burkina Faso,1100,53,926,14.0,0.0,6.0
Burma,350,6,292,0.0,0.0,2.0
Burundi,378,1,301,17.0,0.0,22.0
Cabo Verde,2328,22,1550,21.0,0.0,103.0
Cambodia,226,0,147,1.0,0.0,4.0
Cameroon,17110,391,14539,402.0,6.0,0.0
Canada,116458,8944,0,0.0,0.0,0.0
Central African Republic,4599,59,1546,0.0,0.0,0.0
Chad,922,75,810,7.0,0.0,0.0
Chile,347923,9187,319954,2133.0,75.0,1859.0
China,86783,4656,78869,0.0,0.0,0.0
Colombia,257101,8777,131161,16306.0,508.0,11494.0
Comoros,354,7,328,0.0,0.0,0.0
Congo (Brazzaville),3200,54,829,162.0,3.0,73.0
Congo (Kinshasa),8844,208,5700,13.0,4.0,190.0
Costa Rica,15841,115,3824,612.0,11.0,88.0
Cote d'Ivoire,15655,96,10361,59.0,0.0,183.0
Croatia,4881,139,3936,24.0,3.0,70.0
Cuba,2532,87,2351,37.0,0.0,2.0
Cyprus,1060,19,852,3.0,0.0,0.0
Czechia,15516,373,11428,192.0,2.0,0.0
Denmark,13761,613,12605,109.0,0.0,77.0
Djibouti,5059,58,4977,9.0,0.0,11.0
Dominica,18,0,18,0.0,0.0,0.0
Dominican Republic,64156,1083,30204,1248.0,20.0,1601.0
Ecuador,81161,5532,34896,467.0,17.0,0.0
Egypt,92482,4652,34838,420.0,46.0,1007.0
El Salvador,15035,408,7778,405.0,8.0,130.0
Equatorial Guinea,3071,51,842,0.0,0.0,0.0
Eritrea,265,0,191,2.0,0.0,2.0
Estonia,2034,69,1923,0.0,0.0,1.0
Eswatini,2316,34,1025,109.0,2.0,39.0
Ethiopia,14547,228,6386,579.0,5.0,170.0
Fiji,27,0,18,0.0,0.0,0.0
Finland,7398,329,6920,5.0,0.0,0.0
France,220352,30212,81212,0.0,0.0,0.0
Gabon,7189,49,4682,205.0,0.0,219.0
Gambia,326,8,66,49.0,2.0,6.0
Georgia,1137,16,922,6.0,0.0,2.0
Germany,207112,9125,190314,445.0,1.0,259.0
Ghana,33624,168,29801,655.0,0.0,307.0
Greece,4227,202,1374,34.0,0.0,0.0
Greenland,14,0,13,1.0,0.0,0.0
Grenada,23,0,23,0.0,0.0,0.0
Guatemala,45309,1761,32455,256.0,27.0,843.0
Guinea,7055,45,6257,47.0,2.0,105.0
Guinea-Bissau,1954,26,803,0.0,0.0,0.0
Guyana,389,20,181,19.0,0.0,0.0
Haiti,7340,158,4365,25.0,1.0,0.0
Holy See,12,0,12,0.0,0.0,0.0
Honduras,39741,1166,5039,465.0,50.0,117.0
Hungary,4448,596,3329,13.0,0.0,0.0
Iceland,1854,10,1823,7.0,0.0,0.0
India,1480073,33408,951166,44457.0,637.0,33598.0
Indonesia,100303,4838,58173,1525.0,57.0,1518.0
Iran,293606,15912,255144,2434.0,212.0,1931.0
Iraq,112585,4458,77144,2553.0,96.0,1927.0
Ireland,25892,1764,23364,11.0,0.0,0.0
Israel,63985,474,27133,2029.0,4.0,108.0
Italy,246286,35112,198593,168.0,5.0,147.0
Jamaica,853,10,714,11.0,0.0,0.0
Japan,31142,998,21970,594.0,0.0,364.0
Jordan,1176,11,1041,8.0,0.0,0.0
Kazakhstan,84648,585,54404,1526.0,0.0,1833.0
Kenya,17975,285,7833,372.0,5.0,90.0
Kosovo,7413,185,4027,496.0,16.0,274.0
Kuwait,64379,438,55057,606.0,5.0,684.0
Kyrgyzstan,33296,1301,21205,483.0,24.0,817.0
Laos,20,0,19,0.0,0.0,0.0
Latvia,1219,31,1045,0.0,0.0,0.0
Lebanon,3882,51,1709,132.0,0.0,17.0
Lesotho,505,12,128,0.0,0.0,0.0
Liberia,1167,72,646,5.0,0.0,5.0
Libya,2827,64,577,158.0,4.0,24.0
Liechtenstein,86,1,81,0.0,0.0,0.0
Lithuania,2019,80,1620,11.0,0.0,4.0
Luxembourg,6321,112,4825,49.0,0.0,178.0
Madagascar,9690,91,6260,395.0,6.0,681.0
Malawi,3664,99,1645,24.0,0.0,6.0
Malaysia,8904,124,8601,7.0,0.0,1.0
Maldives,3369,15,2547,67.0,0.0,19.0
Mali,2513,124,1913,3.0,1.0,2.0
Malta,701,9,665,1.0,0.0,0.0
Mauritania,6208,156,4653,37.0,0.0,223.0
Mauritius,344,10,332,0.0,0.0,0.0
Mexico,395489,44022,303810,4973.0,342.0,8588.0
Moldova,23154,748,16154,120.0,13.0,245.0
Monaco,116,4,104,0.0,0.0,0.0
Mongolia,289,0,222,1.0,0.0,4.0
Montenegro,2893,45,809,94.0,2.0,70.0
Morocco,20887,316,16553,609.0,3.0,115.0
Mozambique,1701,11,0,32.0,0.0,0.0
Namibia,1843,8,101,68.0,0.0,26.0
Nepal,18752,48,13754,139.0,3.0,626.0
Netherlands,53413,6160,189,419.0,1.0,0.0
New Zealand,1557,22,1514,1.0,0.0,1.0
Nicaragua,3439,108,2492,0.0,0.0,0.0
Niger,1132,69,1027,-4.0,0.0,0.0
Nigeria,41180,860,18203,648.0,2.0,829.0
North Macedonia,10213,466,5564,127.0,6.0,137.0
Norway,9132,255,8752,15.0,0.0,0.0
Oman,77058,393,57028,1053.0,9.0,1729.0
Pakistan,274289,5842,241026,1176.0,20.0,3592.0
Panama,61442,1322,35086,1146.0,28.0,955.0
Papua New Guinea,62,0,11,0.0,0.0,0.0
Paraguay,4548,43,2905,104.0,2.0,111.0
Peru,389717,18418,272547,13756.0,575.0,4697.0
Philippines,82040,1945,26446,1592.0,13.0,336.0
Poland,43402,1676,32856,337.0,5.0,103.0
Portugal,50299,1719,35375,135.0,2.0,158.0
Qatar,109597,165,106328,292.0,0.0,304.0
Romania,45902,2206,25794,1104.0,19.0,151.0
Russia,816680,13334,602249,5607.0,85.0,3077.0
Rwanda,1879,5,975,58.0,0.0,57.0
Saint Kitts and Nevis,17,0,15,0.0,0.0,0.0
Saint Lucia,24,0,22,0.0,0.0,0.0
Saint Vincent and the Grenadines,52,0,39,0.0,0.0,0.0
San Marino,699,42,657,0.0,0.0,0.0
Sao Tome and Principe,865,14,734,2.0,0.0,38.0
Saudi Arabia,268934,2760,222936,1993.0,27.0,2613.0
Senegal,9764,194,6477,83.0,3.0,68.0
Serbia,24141,543,0,411.0,9.0,0.0
Seychelles,114,0,39,0.0,0.0,0.0
Sierra Leone,1783,66,1317,0.0,0.0,4.0
Singapore,50838,27,45692,469.0,0.0,171.0
Slovakia,2181,28,1616,2.0,0.0,39.0
Slovenia,2087,116,1733,5.0,0.0,55.0
Somalia,3196,93,1543,18.0,0.0,22.0
South Africa,452529,7067,274925,7096.0,298.0,9848.0
South Korea,14203,300,13007,28.0,1.0,102.0
South Sudan,2305,46,1175,43.0,1.0,0.0
Spain,272421,28432,150376,0.0,0.0,0.0
Sri Lanka,2805,11,2121,23.0,0.0,15.0
Sudan,11424,720,5939,39.0,3.0,49.0
Suriname,1483,24,925,44.0,1.0,35.0
Sweden,79395,5700,0,398.0,3.0,0.0
Switzerland,34477,1978,30900,65.0,1.0,200.0
Syria,674,40,0,24.0,2.0,0.0
Taiwan*,462,7,440,4.0,0.0,0.0
Tajikistan,7235,60,6028,43.0,1.0,58.0
Tanzania,509,21,183,0.0,0.0,0.0
Thailand,3297,58,3111,6.0,0.0,2.0
Timor-Leste,24,0,0,0.0,0.0,0.0
Togo,874,18,607,6.0,0.0,8.0
Trinidad and Tobago,148,8,128,1.0,0.0,0.0
Tunisia,1455,50,1157,3.0,0.0,15.0
Turkey,227019,5630,210469,919.0,17.0,982.0
US,4290259,148011,1325804,56336.0,1076.0,27941.0
Uganda,1128,2,986,13.0,0.0,4.0
Ukraine,67096,1636,37202,835.0,11.0,317.0
United Arab Emirates,59177,345,52510,264.0,1.0,328.0
United Kingdom,301708,45844,1437,0.0,0.0,0.0
Uruguay,1202,35,951,10.0,1.0,3.0
Uzbekistan,21209,121,11674,678.0,5.0,569.0
Venezuela,15988,146,9959,525.0,4.0,213.0
Vietnam,431,0,365,11.0,0.0,0.0
West Bank and Gaza,10621,78,3752,152.0,2.0,0.0
Western Sahara,10,1,8,0.0,0.0,0.0
Yemen,1691,483,833,10.0,4.0,36.0
Zambia,4552,140,2815,71.0,1.0,465.0
Zimbabwe,2704,36,542,192.0,2.0,24.0
